time,categoryId,title,viewCount,url,channelTitle
2019-04-15T16:49:45.253138,24,BURACO NEGRO - TUDO SOBRE A PRIMEIRA FOTO !!,2723840,0UzT5MN3wlk,Você Sabia?
2019-04-15T16:49:45.253138,17,SÃO PAULO 0X0 CORINTHIANS - ANÁLISE E NOTAS,105672,5Q73CxkN0hE,BAROLO VÍDEOS
2019-04-15T16:49:45.253138,26,OVO DRAGÃO GAME OF THRONES | TODO MUNDO CONTRA O PAULO,124097,QR9EWG2hLvc,Danielle Noce
2019-04-15T16:49:45.253138,10,GAME OF THRONES - Tema de abertura (versão fingerstyle),122706,PodZolu9v30,Cifra Club
2019-04-15T16:49:45.253138,17,Grêmio e Internacional - Final do Gauchão 2019 - Grenal ao vivo - 14/04/2019 - Rádio Grenal,141348,6A8WLFwAuzA,Rádio Grenal
2019-04-15T16:49:45.253138,17,Abel diz por que pôs Arrascaeta e tirou Diego - veja coletiva do Flamengo após bater Vasco,206683,Vw70_0S-q8U,FOX Sports Brasil
2019-04-15T16:49:45.253138,22,PAPEL HIGIÊNICO - MANO DOIDO PARAFUSO SOLTO,162943,S5dCoym1Kak,Mano Doido
2019-04-15T16:49:45.253138,17,COLETIVA PÓS-JOGO: SPFC X CORINTHIANS | SPFCTV,115488,afRWPynDrK4,São Paulo FC
2019-04-15T16:49:45.253138,24,Whats App caiu no mundo inteiro e ovo de páscoa do Playstation,115383,svN-4iz7x-I,Gameplayrj
2019-04-15T16:49:45.253138,17,Lille x PSG AO VIVO! Assista aqui com o DAZN!,234990,h6mP2JFGWAQ,DAZN BRASIL
2019-04-15T16:49:45.253138,23,VEDA #14 - Desafio do Crush - Depois das Onze,272560,vzGi-PV1a9M,Depois das Onze
2019-04-15T16:49:45.253138,17,Paulista 2019 - São Paulo 0 X 0 Corinthians,29116,zWLVWZf5h5g,Fala Bandana
2019-04-15T16:49:45.253138,22,ALMOÇO DE DOMINGO DELICIOSO,72579,WHWJkcXppAI,Me Chamem de Nanda Mel
2019-04-15T17:19:45.352789,24,DESAFIO PRODUTOS FEMININOS - consigo adivinhar?,969786,uD0160ieQMQ,Felipe Neto
2019-04-15T17:19:45.352789,24,MASTERCHEF BRASIL (14/04/2019) | PARTE 2 | EP 04 | TEMP 06,416996,MxT4zsS8yxY,MasterChef Brasil
2019-04-15T17:19:45.352789,24,ELE RIU DA CONDENAÇÃO? COM A PALAVRA DANILO GENTILI | LEDA NAGLE,249090,ryCvwR-eeWg,Leda Nagle
2019-04-15T17:19:45.352789,23,A GRAVIDEZ SURPRESA de Jennyfer!  | Os Roni | Estreia | Humor Multishow,203390,3p1UGk12-NM,Humor Multishow
2019-04-15T17:19:45.352789,24,Whindersson Nunes enfrenta depressão e pede socorro nas redes sociais,283457,rPTTt5l2VnM,Domingo Espetacular
2019-04-15T17:19:45.352789,22,FESTA SURPRESA ‹ EduKof ›,345786,71cP_XvQecY,AM3NlC
2019-04-15T17:19:45.352789,10,Djonga - Hat-Trick,235428,trfuqjFx_XE,Djonga
2019-04-15T17:19:45.352789,24,ÚLTIMO CASAL A FICAR LEVA O DINHEIRO TODO !!!,1221954,oRJlZZi-4OU,Invento na Hora
2019-04-15T17:19:45.352789,24,BOMBA! VAZAM OS PRIMEIROS 20 MINUTOS DE VINGADORES ULTIMATO,470768,BJNixc-mxjM,Ei Nerd
2019-04-15T17:19:45.352789,24,Eliana entrevista Carlinhos Maia - Parte 1 | Programa Eliana (14/04/19),338611,BvQb1jjnP20,Programa Eliana
2019-04-15T17:19:45.352789,24,Segredo da Vida | Deive Leonardo,205178,pvS2qRubpDI,Deive Leonardo
2019-04-15T17:19:45.352789,24,PONTO DE VISTA - PRIMEIRO BEIJO | PARAFERNALHA,386349,tfjbHj0nQ8U,Parafernalha
2019-04-15T17:19:45.352789,20,WORLD WAR Z : POR DIAS MELHORES ! (wombatbeta),73145,7DwvUPpM9ic,Zangado
2019-04-15T17:19:45.352789,10,Marília Mendonça - OBRIGADO POR ESTRAGAR TUDO (Todos Os Cantos),1724640,ZXkagTSErdM,Marília Mendonça
2019-04-15T17:19:45.352789,24,OUVEM TUDO,348984,O9WC8AjOz7k,Porta dos Fundos
2019-04-15T17:19:45.352789,22,TESOURO SELIC NA PRÁTICA: INVESTI 105 REAIS e já sei quanto vou ganhar acima da poupança,106513,F2E0ibZtCak,Me poupe!
2019-04-15T17:19:45.352789,22,Game of Thrones | Season 8 Episode 2 | Preview (HBO),4123120,R6YCfVe4eR0,GameofThrones
2019-04-15T17:19:45.352789,23,CONVERSA FEMINISTA,56646,_fu5XWoekxE,Canal Hipocritas
2019-04-15T17:19:45.352789,23,Plantão do Chico: Ovo de Páscoa CARO!!!,102343,6vzPbvR02_E,Reclamação do Dia
2019-04-15T17:19:45.352789,24,NEM QUE A VACA TUSSA! - Você Esqueceu?,102180,IUNDXfuonE8,imaginago
2019-04-15T17:19:45.352789,24,BTS: Mic Drop (Live) - SNL,2994222,jSFIwS2b-kg,Saturday Night Live
2019-04-15T17:19:45.352789,25,Jornal da Manhã - Edição completa - 15/04/19,165220,z0NtMgDWw2g,Jovem Pan News
2019-04-15T17:19:45.352789,17,Vasco 0x2 Flamengo - Final do Carioca - Bastidores,113539,ndQ2fxskfE4,FLA TV
2019-04-15T17:19:45.352789,17,TIRADAS DE BOLA MILAGROSAS,62024,qL7dh4_6uys,Futebol 24 Horas
2019-04-15T17:19:45.352789,24,BOLO DE CHOCOLATE FEITO NA PANELA OU FRIGIDEIRA,47206,_sk1BRdCooo,Receitas de Pai
2019-04-15T17:19:45.352789,24,COMPREI O OVO MAIS CARO E O MAIS BARATO DO SUPERMERCADO !!!,340946,GAmHij6VHHw,Camila Loures
2019-04-15T17:19:45.352789,20,"WORLD WAR Z - O Início de Gameplay, Legendado em Português PT-BR!",356867,1vvLi4Pwjf4,BRKsEDU
2019-04-15T17:19:45.352789,10,MC Magal - Do Lixo ao Luxo (GR6 Filmes) DJ Pedro,631436,Avu8wrNsLoU,GR6 EXPLODE
2019-04-15T17:19:45.352789,24,UM DIA INTEIRO SÓ COMENDO COMIDAS AMARELAS,335072,8AH7kehZUcs,Thai e Biel
2019-04-15T17:19:45.352789,10,Wilian Nascimento feat. Midian Lima - Irresistível Glória (Clipe Oficial MK Music),31623,Eqp2LShWfSQ,MK MUSIC
2019-04-15T17:19:45.352789,17,LOSC - Paris Saint-Germain ( 5-1 ) - Résumé - (LOSC - PARIS) / 2018-19,1084438,rIah9kxuZLc,Ligue 1 Conforama
2019-04-15T17:19:45.352789,22,Deus quer habitar em você - Minuto com Deus Animações,22953,91L88JDBcd8,Minuto Com Deus Animações
2019-04-15T17:19:45.352789,24,Catherynne e Guilherme | Fábrica de Casamentos - 13/04/19 - Parte 3,111984,VL9-9pLmcAw,Fábrica de Casamentos
2019-04-15T17:19:45.352789,10,Boyzinho - Trip do Boyzinho | FitDance TV (Coreografia Oficial),39105,gGRv6VxtVSw,FitDance
2019-04-15T17:19:45.352789,17,Desafio da cama elástica - Desimpedidos x Ginga Street,403365,ftw8UfR56Eo,Desimpedidos
2019-04-15T17:19:45.352789,24,Fantástico: Isso a Globo Não Mostra | #13,157224,NVT-vsthzJY,Globo
2019-04-15T17:19:45.352789,24,ENCHEMOS NOSSA PISCINA INTEIRA COM MARSHMALLOW ( deu ruim! ),434293,7QVGGPjqmhg,Neagle
2019-04-15T17:19:45.352789,29,❤️CORAÇÃO ABERTO❤️ SEMANA SANTA ✝️Segunda-feira 15/04/19,22730,B6TzxHCT6Nw,Pe Marcelo Rossi
2019-04-15T17:19:45.352789,17,MUDANÇAS URGENTES | 3 REFORÇOS CHEGANDO | ÚLTIMAS NOVIDADES DO VASCO | Notícias do Vasco Da Gama,42686,vYZ7IclBC10,Mario Coelho Vasco
2019-04-15T17:19:45.352789,23,CASAIS VICIADOS EM SERTANEJO 7,79040,J3NK9eZImbk,FelipePires
2019-04-15T17:19:45.352789,1,Coca-Cola | The Chase – Vingadores: Ultimato,957237,iRlzA_vp47A,Coca-Cola
2019-04-15T17:19:45.352789,17,"LIVE no canal ""Mauro Cezar"" no YouTube",118052,j2CMFW1aVLo,Mauro Cezar
2019-04-15T17:19:45.352789,17,São Paulo 0 x 0 Corinthians - 14/04/19 - Final do Paulistão,922795,HbHLe1_3Hzw,Jovem Pan Sports
2019-04-15T17:19:45.352789,17,SÃO PAULO 0X0 CORINTHIANS - ANÁLISE E NOTAS,107239,5Q73CxkN0hE,BAROLO VÍDEOS
2019-04-15T17:19:45.352789,24,BURACO NEGRO - TUDO SOBRE A PRIMEIRA FOTO !!,2737738,0UzT5MN3wlk,Você Sabia?
2019-04-15T17:19:45.352789,26,OVO DRAGÃO GAME OF THRONES | TODO MUNDO CONTRA O PAULO,126484,QR9EWG2hLvc,Danielle Noce
2019-04-15T17:19:45.352789,10,GAME OF THRONES - Tema de abertura (versão fingerstyle),124154,PodZolu9v30,Cifra Club
2019-04-15T17:19:45.352789,17,Grêmio e Internacional - Final do Gauchão 2019 - Grenal ao vivo - 14/04/2019 - Rádio Grenal,141456,6A8WLFwAuzA,Rádio Grenal
2019-04-15T17:19:45.352789,17,Abel diz por que pôs Arrascaeta e tirou Diego - veja coletiva do Flamengo após bater Vasco,207954,Vw70_0S-q8U,FOX Sports Brasil
2019-04-15T17:19:45.352789,22,PAPEL HIGIÊNICO - MANO DOIDO PARAFUSO SOLTO,163950,S5dCoym1Kak,Mano Doido
2019-04-15T17:49:49.460402,24,DESAFIO PRODUTOS FEMININOS - consigo adivinhar?,1014997,uD0160ieQMQ,Felipe Neto
2019-04-15T17:49:49.460402,24,MASTERCHEF BRASIL (14/04/2019) | PARTE 2 | EP 04 | TEMP 06,439869,MxT4zsS8yxY,MasterChef Brasil
